productSKU,total_ordered,name,stocklevel,restockingleadtime,sentimentscore,sentimentmagnitiude,ratio
GGOEGAAX0309,0,no name,0,0,0,0,0
GGOEGAAX0313,0,no name,0,0,0,0,0
GGOEGAAX0318,0,no name,0,0,0,0,0
GGOEGAAX0320,0,no name,0,0,0,0,0
GGOEGAAX0323,0,no name,0,0,0,0,0
GGOEGAAX0324,0,no name,0,0,0,0,0
GGOEGAAX0325,0,no name,0,0,0,0,0
GGOEGAAX0326,0,no name,0,0,0,0,0
GGOEGAAX0327,0,no name,0,0,0,0,0
GGOEGAAX0328,0,no name,0,0,0,0,0
GGOEGAAX0329,0,no name,0,0,0,0,0
GGOEGAAX0330,0,no name,0,0,0,0,0
GGOEGAAX0331,0,no name,0,0,0,0,0
GGOEGAAX0334,0,no name,0,0,0,0,0
GGOEGAAX0338,0,no name,0,0,0,0,0
GGOEGAAX0352,0,no name,0,0,0,0,0
GGOEGAAX0353,0,no name,0,0,0,0,0
GGOEGAAX0355,0,no name,0,0,0,0,0
GGOEGAAX0356,0,no name,0,0,0,0,0
GGOEGAAX0357,0,no name,0,0,0,0,0
GGOEGAAX0358,0,no name,0,0,0,0,0
GGOEGAAX0361,0,no name,0,0,0,0,0
GGOEGAAX0364,0,no name,0,0,0,0,0
GGOEGAAX0365,0,no name,0,0,0,0,0
GGOEGAAX0366,0,no name,0,0,0,0,0
GGOEGAAX0567,0,no name,0,0,0,0,0
GGOEGAAX0568,0,no name,0,0,0,0,0
GGOEGAAX0569,0,no name,0,0,0,0,0
GGOEGAAX0570,0,no name,0,0,0,0,0
GGOEGAAX0572,0,no name,0,0,0,0,0
GGOEGAAX0575,0,no name,0,0,0,0,0
GGOEGAAX0578,0,no name,0,0,0,0,0
GGOEGAAX0579,0,no name,0,0,0,0,0
GGOEGAAX0580,0,no name,0,0,0,0,0
GGOEGAAX0581,0,no name,0,0,0,0,0
GGOEGAAX0582,0,no name,0,0,0,0,0
GGOEGAAX0588,0,no name,0,0,0,0,0
GGOEGAAX0590,0,no name,0,0,0,0,0
GGOEGAAX0591,0,no name,0,0,0,0,0
GGOEGAAX0592,0,no name,0,0,0,0,0
GGOEGAAX0593,0,no name,0,0,0,0,0
GGOEGAAX0595,0,no name,0,0,0,0,0
GGOEGAAX0596,0,no name,0,0,0,0,0
GGOEGAAX0598,0,no name,0,0,0,0,0
GGOEGAAX0602,0,no name,0,0,0,0,0
GGOEGAAX0603,0,no name,0,0,0,0,0
GGOEGAAX0604,0,no name,0,0,0,0,0
GGOEGAAX0605,0,no name,0,0,0,0,0
GGOEGAAX0606,0,no name,0,0,0,0,0
GGOEGAAX0607,0,no name,0,0,0,0,0
GGOEGAAX0610,0,no name,0,0,0,0,0
GGOEGAAX0617,0,no name,0,0,0,0,0
GGOEGAAX0618,0,no name,0,0,0,0,0
GGOEGAAX0619,0,no name,0,0,0,0,0
GGOEGAAX0620,0,no name,0,0,0,0,0
GGOEGAAX0622,0,no name,0,0,0,0,0
GGOEGAAX0625,0,no name,0,0,0,0,0
GGOEGAAX0626,0,no name,0,0,0,0,0
GGOEGAAX0651,0,no name,0,0,0,0,0
GGOEGAAX0655,0,no name,0,0,0,0,0
GGOEGAAX0661,0,no name,0,0,0,0,0
GGOEGAAX0671,0,no name,0,0,0,0,0
GGOEGAAX0680,0,no name,0,0,0,0,0
GGOEGAAX0682,0,no name,0,0,0,0,0
GGOEGAAX0683,0,no name,0,0,0,0,0
GGOEGAAX0686,0,no name,0,0,0,0,0
GGOEGAAX0690,0,no name,0,0,0,0,0
GGOEGAAX0731,0,no name,0,0,0,0,0
GGOEGAAX0732,0,no name,0,0,0,0,0
GGOEGAAX0733,0,no name,0,0,0,0,0
GGOEGAAX0746,0,no name,0,0,0,0,0
GGOEGAAX0761,0,no name,0,0,0,0,0
GGOEGAAX0781,0,no name,0,0,0,0,0
GGOEGAAX0795,0,no name,0,0,0,0,0
GGOEGACB023699,0,no name,0,0,0,0,0
GGOEGADB056915,0,no name,0,0,0,0,0
GGOEGADB059614,0,no name,0,0,0,0,0
GGOEGADJ056813,0,no name,0,0,0,0,0
GGOEGADJ056814,0,no name,0,0,0,0,0
GGOEGADJ056815,0,no name,0,0,0,0,0
GGOEGAEA030415,0,no name,0,0,0,0,0
GGOEGAEB027813,0,no name,0,0,0,0,0
GGOEGAEC033113,0,no name,0,0,0,0,0
GGOEGAEC033117,0,no name,0,0,0,0,0
GGOEGAEJ028013,0,no name,0,0,0,0,0
GGOEGAEJ028015,0,no name,0,0,0,0,0
GGOEGAEJ028016,0,no name,0,0,0,0,0
GGOEGAEJ028113,0,no name,0,0,0,0,0
GGOEGAEJ028114,0,no name,0,0,0,0,0
GGOEGAEJ028115,0,no name,0,0,0,0,0
GGOEGAEJ029913,0,no name,0,0,0,0,0
GGOEGAEJ029915,0,no name,0,0,0,0,0
GGOEGAEJ030814,0,no name,0,0,0,0,0
GGOEGAEJ030815,0,no name,0,0,0,0,0
GGOEGAEJ031313,0,no name,0,0,0,0,0
GGOEGAEJ031314,0,no name,0,0,0,0,0
GGOEGAEJ031315,0,no name,0,0,0,0,0
GGOEGAEJ031316,0,no name,0,0,0,0,0
GGOEGAEQ027913,0,no name,0,0,0,0,0
GGOEGAEQ027915,0,no name,0,0,0,0,0
GGOEGAER029713,0,no name,0,0,0,0,0
GGOEGAFB035814,0,no name,0,0,0,0,0
GGOEGAFB035816,0,no name,0,0,0,0,0
GGOEGAFB035817,0,no name,0,0,0,0,0
GGOEGALB034113,0,no name,0,0,0,0,0
GGOEGALB034114,0,no name,0,0,0,0,0
GGOEGALB034115,0,no name,0,0,0,0,0
GGOEGALB034116,0,no name,0,0,0,0,0
GGOEGALB034117,0,no name,0,0,0,0,0
GGOEGALB036514,0,no name,0,0,0,0,0
GGOEGALB036515,0,no name,0,0,0,0,0
GGOEGALB036516,0,no name,0,0,0,0,0
GGOEGALJ036413,0,no name,0,0,0,0,0
GGOEGALJ036414,0,no name,0,0,0,0,0
GGOEGALL074613,0,no name,0,0,0,0,0
GGOEGALL074614,0,no name,0,0,0,0,0
GGOEGALL074615,0,no name,0,0,0,0,0
GGOEGALQ034213,0,no name,0,0,0,0,0
GGOEGALQ034215,0,no name,0,0,0,0,0
GGOEGALQ036613,0,no name,0,0,0,0,0
GGOEGALQ036614,0,no name,0,0,0,0,0
GGOEGALQ036616,0,no name,0,0,0,0,0
GGOEGAPB057813,0,no name,0,0,0,0,0
GGOEGAPB057816,0,no name,0,0,0,0,0
GGOEGATB060213,0,no name,0,0,0,0,0
GGOEGATB060214,0,no name,0,0,0,0,0
GGOEGATB060615,0,no name,0,0,0,0,0
GGOEGATH060714,0,no name,0,0,0,0,0
GGOEGATH060717,0,no name,0,0,0,0,0
GGOEGATJ060516,0,no name,0,0,0,0,0
GGOEGAWQ062248,0,no name,0,0,0,0,0
GGOEGAWQ062250,0,no name,0,0,0,0,0
GGOEGAWR061848,0,no name,0,0,0,0,0
GGOEGAWR061850,0,no name,0,0,0,0,0
GGOEGAXJ065555,0,no name,0,0,0,0,0
GGOEGAXQ067129,0,no name,0,0,0,0,0
GGOEGAXQ067155,0,no name,0,0,0,0,0
GGOEGAXR065129,0,no name,0,0,0,0,0
GGOEGAYB068024,0,no name,0,0,0,0,0
GGOEGAYB068025,0,no name,0,0,0,0,0
GGOEGAYB068026,0,no name,0,0,0,0,0
GGOEGAYB068056,0,no name,0,0,0,0,0
GGOEGAYQ069025,0,no name,0,0,0,0,0
GGOEGAYQ069056,0,no name,0,0,0,0,0
GGOEGAYR068225,0,no name,0,0,0,0,0
GGOEGBCR024399,0,no name,0,0,0,0,0
GGOEGBFC018799,0,no name,0,0,0,0,0
GGOEGBJC014399,0,no name,0,0,0,0,0
GGOEGBJC019999,0,no name,0,0,0,0,0
GGOEGBJL013999,0,no name,0,0,0,0,0
GGOEGBMC056599,0,no name,0,0,0,0,0
GGOEGBMJ013399,0,no name,0,0,0,0,0
GGOEGBPB021199,0,no name,0,0,0,0,0
GGOEGBPB081999,0,no name,0,0,0,0,0
GGOEGBPB082099,0,no name,0,0,0,0,0
GGOEGBRA037499,0,no name,0,0,0,0,0
GGOEGBRB013899,0,no name,0,0,0,0,0
GGOEGBRJ037299,0,no name,0,0,0,0,0
GGOEGBRJ037399,0,no name,0,0,0,0,0
GGOEGCBB074199,0,no name,0,0,0,0,0
GGOEGCBB074399,0,no name,0,0,0,0,0
GGOEGCBC074299,0,no name,0,0,0,0,0
GGOEGCBQ016499,0,no name,0,0,0,0,0
GGOEGCKQ013199,0,no name,0,0,0,0,0
GGOEGCMB020932,0,no name,0,0,0,0,0
GGOEGCNB021099,0,no name,0,0,0,0,0
GGOEGCVB072399,0,no name,0,0,0,0,0
GGOEGDHB072099,0,no name,0,0,0,0,0
GGOEGDHC015299,0,no name,0,0,0,0,0
GGOEGDHC018299,0,no name,0,0,0,0,0
GGOEGDHC074099,0,no name,0,0,0,0,0
GGOEGDHQ015399,0,no name,0,0,0,0,0
GGOEGDHR018499,0,no name,0,0,0,0,0
GGOEGDHR082199,0,no name,0,0,0,0,0
GGOEGDWR015799,0,no name,0,0,0,0,0
GGOEGEHQ024099,0,no name,0,0,0,0,0
GGOEGEHQ071199,0,no name,0,0,0,0,0
GGOEGEHQ072499,0,no name,0,0,0,0,0
GGOEGEHQ072599,0,no name,0,0,0,0,0
GGOEGESB015099,0,no name,0,0,0,0,0
GGOEGESB015199,0,no name,0,0,0,0,0
GGOEGESC014099,0,no name,0,0,0,0,0
GGOEGESQ016799,0,no name,0,0,0,0,0
GGOEGETB023799,0,no name,0,0,0,0,0
GGOEGETR014599,0,no name,0,0,0,0,0
GGOEGEVA022399,0,no name,0,0,0,0,0
GGOEGEVB070599,0,no name,0,0,0,0,0
GGOEGFAQ016699,0,no name,0,0,0,0,0
GGOEGFKA022299,0,no name,0,0,0,0,0
GGOEGFKQ020399,0,no name,0,0,0,0,0
GGOEGFKQ020799,0,no name,0,0,0,0,0
GGOEGFQB013799,0,no name,0,0,0,0,0
GGOEGFSR022099,0,no name,0,0,0,0,0
GGOEGFYQ016599,0,no name,0,0,0,0,0
GGOEGGCX056199,0,no name,0,0,0,0,0
GGOEGGCX056299,0,no name,0,0,0,0,0
GGOEGGCX056399,0,no name,0,0,0,0,0
GGOEGGCX056499,0,no name,0,0,0,0,0
GGOEGGOA017399,0,no name,0,0,0,0,0
GGOEGHGC019799,0,no name,0,0,0,0,0
GGOEGHGH019699,0,no name,0,0,0,0,0
GGOEGHGR019499,0,no name,0,0,0,0,0
GGOEGHGT019599,0,no name,0,0,0,0,0
GGOEGHPB003410,0,no name,0,0,0,0,0
GGOEGHPB071610,0,no name,0,0,0,0,0
GGOEGHPB080410,0,no name,0,0,0,0,0
GGOEGHPJ080110,0,no name,0,0,0,0,0
GGOEGHPJ080310,0,no name,0,0,0,0,0
GGOEGHPL003214,0,no name,0,0,0,0,0
GGOEGKAA019299,0,no name,0,0,0,0,0
GGOEGKWQ060910,0,no name,0,0,0,0,0
GGOEGKWR060810,0,no name,0,0,0,0,0
GGOEGOAA017199,0,no name,0,0,0,0,0
GGOEGOAB021499,0,no name,0,0,0,0,0
GGOEGOAB022499,0,no name,0,0,0,0,0
GGOEGOAJ021599,0,no name,0,0,0,0,0
GGOEGOAQ012899,0,no name,0,0,0,0,0
GGOEGOAQ018099,0,no name,0,0,0,0,0
GGOEGOAQ020099,0,no name,0,0,0,0,0
GGOEGOAR013099,0,no name,0,0,0,0,0
GGOEGOAR013599,0,no name,0,0,0,0,0
GGOEGOBC078699,0,no name,0,0,0,0,0
GGOEGOBG023599,0,no name,0,0,0,0,0
GGOEGOCB017499,0,no name,0,0,0,0,0
GGOEGOCB078299,0,no name,0,0,0,0,0
GGOEGOCC077299,0,no name,0,0,0,0,0
GGOEGOCC077999,0,no name,0,0,0,0,0
GGOEGOCD078399,0,no name,0,0,0,0,0
GGOEGOCL077699,0,no name,0,0,0,0,0
GGOEGOCR017899,0,no name,0,0,0,0,0
GGOEGOCR078499,0,no name,0,0,0,0,0
GGOEGODR017799,0,no name,0,0,0,0,0
GGOEGOFH020299,0,no name,0,0,0,0,0
GGOEGOLC013299,0,no name,0,0,0,0,0
GGOEGOLC014299,0,no name,0,0,0,0,0
GGOEGOXQ016399,0,no name,0,0,0,0,0
GGOEGPJC019099,0,no name,0,0,0,0,0
GGOEGPJC203399,0,no name,0,0,0,0,0
GGOEGXXX0806,0,no name,0,0,0,0,0
GGOENEBB078899,0,no name,0,0,0,0,0
GGOENEBB081499,0,no name,0,0,0,0,0
GGOENEBD084799,0,no name,0,0,0,0,0
GGOENEBJ081899,0,no name,0,0,0,0,0
GGOENEBQ078999,0,no name,0,0,0,0,0
GGOENEBQ079099,0,no name,0,0,0,0,0
GGOENEBQ079199,0,no name,0,0,0,0,0
GGOENEBQ081599,0,no name,0,0,0,0,0
GGOENEBQ081699,0,no name,0,0,0,0,0
GGOENEBQ081799,0,no name,0,0,0,0,0
GGOENEBQ084699,0,no name,0,0,0,0,0
GGOEWAEA083899,0,no name,0,0,0,0,0
GGOEWCKQ085457,0,no name,0,0,0,0,0
GGOEWEBB082699,0,no name,0,0,0,0,0
GGOEWFKA082999,0,no name,0,0,0,0,0
GGOEWFKA083099,0,no name,0,0,0,0,0
GGOEWFKA083199,0,no name,0,0,0,0,0
GGOEWFKA083299,0,no name,0,0,0,0,0
GGOEWXXX0827,0,no name,0,0,0,0,0
GGOEWXXX0828,0,no name,0,0,0,0,0
GGOEWXXX0834,0,no name,0,0,0,0,0
GGOEWXXX0835,0,no name,0,0,0,0,0
GGOEYAAB031813,0,no name,0,0,0,0,0
GGOEYAAB031814,0,no name,0,0,0,0,0
GGOEYAAB031816,0,no name,0,0,0,0,0
GGOEYAAJ032514,0,no name,0,0,0,0,0
GGOEYAAJ032515,0,no name,0,0,0,0,0
GGOEYAAJ033014,0,no name,0,0,0,0,0
GGOEYAAJ033015,0,no name,0,0,0,0,0
GGOEYAFB073113,0,no name,0,0,0,0,0
GGOEYAFB073115,0,no name,0,0,0,0,0
GGOEYAFB073116,0,no name,0,0,0,0,0
GGOEYDHJ056099,0,no name,0,0,0,0,0
GGOEYFKQ020699,0,no name,0,0,0,0,0
GGOEYHPB072210,0,no name,0,0,0,0,0
GGOEYOCR077799,0,no name,0,0,0,0,0
GGOENEBJ079499,0,no name,0,0,0,0,0.0372277227722772
9180862,0,no name,0,0,0,0,0
9180905,0,no name,0,0,0,0,0
9181019,0,no name,0,0,0,0,0
9181137,0,no name,0,0,0,0,0
9181139,0,no name,0,0,0,0,0
9181150,0,no name,0,0,0,0,0
9181573,0,no name,0,0,0,0,0
9182173,0,no name,0,0,0,0,0
9182383,0,no name,0,0,0,0,0
9182502,0,no name,0,0,0,0,0
9182559,0,no name,0,0,0,0,0
9182569,0,no name,0,0,0,0,0
9182605,0,no name,0,0,0,0,0
9182709,0,no name,0,0,0,0,0
9182714,0,no name,0,0,0,0,0
9182721,0,no name,0,0,0,0,0
9182722,0,no name,0,0,0,0,0
9182723,0,no name,0,0,0,0,0
9182726,0,no name,0,0,0,0,0
9182737,0,no name,0,0,0,0,0
9182739,0,no name,0,0,0,0,0
9182742,0,no name,0,0,0,0,0
9182743,0,no name,0,0,0,0,0
9182745,0,no name,0,0,0,0,0
9182751,0,no name,0,0,0,0,0
9182752,0,no name,0,0,0,0,0
9182755,0,no name,0,0,0,0,0
9182765,0,no name,0,0,0,0,0
9182771,0,no name,0,0,0,0,0
GGOEYOCR077799_,0,no name,0,0,0,0,0.041544477028348
GGOEYHPB072210_,0,no name,0,0,0,0,0.00450676014021032
GGOEYFKQ020699_,0,no name,0,0,0,0,0.00661375661375661
GGOEYDHJ056099_,0,no name,0,0,0,0,0.0257201646090535
GGOEYAFB073116_,0,no name,0,0,0,0,0.0909090909090909
GGOEYAFB073115_,0,no name,0,0,0,0,0.0114285714285714
GGOEYAFB073113_,0,no name,0,0,0,0,0.0303030303030303
GGOEYAAJ033015_,0,no name,0,0,0,0,0.333333333333333
GGOEYAAJ033014_,0,no name,0,0,0,0,0.714285714285714
GGOEYAAJ032515_,0,no name,0,0,0,0,0.151515151515152
GGOEYAAJ032514_,0,no name,0,0,0,0,0.0487804878048781
GGOEYAAB031816_,0,no name,0,0,0,0,0.1
GGOEYAAB031814_,0,no name,0,0,0,0,0.025
GGOEWXXX0834_,0,no name,0,0,0,0,0
GGOEWXXX0828_,0,no name,0,0,0,0,0
GGOEWXXX0827_,0,no name,0,0,0,0,0
GGOEWFKA083299_,0,no name,0,0,0,0,0
GGOEWFKA083199_,0,no name,0,0,0,0,0.0757575757575758
GGOEWFKA083099_,0,no name,0,0,0,0,0
GGOEWFKA082999_,0,no name,0,0,0,0,0.0144578313253012
GGOEWEBB082699_,0,no name,0,0,0,0,0.0310077519379845
GGOEWCKQ085457_,0,no name,0,0,0,0,0.0256410256410256
GGOEWAEA083899_,0,no name,0,0,0,0,0.05
GGOENEBQ084699_,0,no name,0,0,0,0,0.00612959719789842
GGOENEBQ081799_,0,no name,0,0,0,0,0
GGOENEBQ081699_,0,no name,0,0,0,0,0
GGOENEBQ081599_,0,no name,0,0,0,0,0
GGOENEBQ079199_,0,no name,0,0,0,0,0.0308596620132256
GGOENEBQ079099_,0,no name,0,0,0,0,0.0738461538461539
GGOENEBQ078999_,0,no name,0,0,0,0,0.0239162929745889
GGOENEBJ081899_,0,no name,0,0,0,0,0.115942028985507
GGOENEBD084799_,0,no name,0,0,0,0,0.0177304964539007
GGOENEBB081499_,0,no name,0,0,0,0,0.0555555555555556
GGOENEBB078899_,0,no name,0,0,0,0,0.0390057361376673
GGOEGXXX0806_,0,no name,0,0,0,0,0.416666666666667
GGOEGPJC203399_,0,no name,0,0,0,0,0.0397727272727273
GGOEGPJC019099_,0,no name,0,0,0,0,0.337662337662338
GGOEGOXQ016399_,0,no name,0,0,0,0,0.0278246205733558
GGOEGOLC014299_,0,no name,0,0,0,0,0.00327868852459016
GGOEGOLC013299_,0,no name,0,0,0,0,0.0102862254025045
GGOEGOFH020299_,0,no name,0,0,0,0,0.00906344410876133
