fullvisitorid,channelgrouping,time,country,city,transactions,timeonsite,pageviews,sessionqualitydim,date,visitid,type,productquantity,productprice,productrevenue,productsku,v2productname,v2productcategory,productvariant,currencycode,transactionrevenue,transactionid,pagetitle,pagepathlevel1,ecommerceaction_type,ecommerceaction_step,ecommerceaction_option,totaltransactionrevenue
8136724850793185721,Organic Search,24535,United States,Boston,0,232,10,0,2016-10-03,1475549339,PAGE,0,76990000,0,GGOEGEVB070699,Google Bluetooth Speaker-Power Bank,Home/Shop by Brand/Google/,no data,USD,0,no data,Google,/google+redesign/,0,1,no data,0
6962204031783901356,Referral,8495,United States,Mountain View,0,254,4,0,2017-01-06,1483747128,PAGE,0,24990000,0,GGOEGDHQ014899,20 oz Stainless Steel Insulated Tumbler,Home/Drinkware/Water Bottles and Tumblers/,no data,USD,0,no data,Water Bottles & Tumblers | Drinkware | Google Merchandise Store,/google+redesign/,0,1,no data,0
9657122969562847497,Referral,106576,United States,San Francisco,0,107,5,0,2017-03-06,1488844905,PAGE,0,16990000,0,GGOEGESC014699,Aluminum Handy Emergency Flashlight,Home/Electronics/,no data,USD,0,no data,Electronics | Google Merchandise Store,/google+redesign/,0,1,no data,0
8517261825840014946,Organic Search,74986,United States,San Francisco,0,118,3,0,2016-11-26,1480217901,PAGE,0,89990000,0,GGOEGAAX0574,Google Men's Performance Polo Grey/Black,Home/Apparel/Men's/Men's-T-Shirts/,no data,USD,0,no data,Men's T-Shirts | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
0328997373434097537,Organic Search,0,Canada,Toronto,0,0,1,0,2017-01-28,1485619434,PAGE,0,7990000,0,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
4128661932932330240,Organic Search,37021,United States,Kirkland,0,37,5,0,2016-11-01,1478032301,PAGE,0,1250000,0,GGOEGOAR021899,Retractable Ballpoint Pen Red,Home/Office/Writing Instruments/,no data,USD,0,no data,Writing Instruments | Office | Google Merchandise Store,/google+redesign/,0,1,no data,0
7066539981243005948,Organic Search,65550,India,Hyderabad,0,118,6,0,2016-11-22,1479886811,PAGE,0,74990000,0,GGOEGAAX0595,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Home/Apparel/Men's/Men's-Outerwear/,no data,USD,0,no data,Men's Outerwear | Apparel | Google Merchandise Store,/google+redesign/,0,1,no data,0
8165868443931996809,Direct,105125,South Korea,Seoul,0,161,8,0,2017-04-05,1491459291,PAGE,0,7990000,0,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Home/Shop by Brand/YouTube/,no data,USD,0,no data,YouTube | Shop by Brand | Google Merchandise Store,/google+redesign/,0,1,no data,0
1605058587027476595,Referral,124033,United States,New York,0,178,13,0,2016-09-07,1473285127,PAGE,0,16990000,0,GGOEGETR014599,Google Power Bank,Home/Electronics/,no data,USD,0,no data,Electronics,/google+redesign/,0,1,no data,0
5976462100831219183,Referral,185482,United States,Mountain View,0,191,10,0,2016-08-24,1472058909,PAGE,0,9990000,0,GGOEGDHG014499,Google Infuser-Top Water Bottle,Home/Shop by Brand/,no data,USD,0,no data,Shop by Brand,/google+redesign/,0,1,no data,0
